competitor_id,name,country,country_code,abbreviation
49363,"Pavic, Mate",Croatia,HRV,PAV
51836,"Arevalo-Gonzalez, Marcelo",El Salvador,SLV,ARE
87690,"Thompson, Jordan",Australia,AUS,THO
15568,"Granollers, Marcel",Spain,ESP,GRA
16160,"Zeballos, Horacio",Argentina,ARG,ZEB
16608,"Mektic, Nikola",Croatia,HRV,MEK
50954,"Koolhof, Wesley",Netherlands,NLD,KOO
95801,"Vavassori, Andrea",Italy,ITA,VAV
15310,"Bolelli, Simone",Italy,ITA,BOL
36593,"Krawietz, Kevin",Germany,DEU,KRA
52293,"Putz, Tim",Germany,DEU,PUT
124658,"Purcell, Max",Australia,AUS,PUR
16409,"Ebden, Matthew",Australia,AUS,EBD
637970,"Patten, Henry",Great Britain,GBR,PAT
15307,"Bopanna, Rohan",India,IND,BRO
14898,"Heliovaara, Harri",Finland,FIN,HEL
16151,"Venus, Michael",New Zealand,NZL,VEN
53785,"Skupski, Neal",Great Britain,GBR,SKU
55989,"Withrow, Jackson",USA,USA,WIT
210736,"Lammons, Nathaniel",USA,USA,LAM
38181,"Molteni, Andres",Argentina,ARG,MOL
15548,"Gonzalez, Maximo",Argentina,ARG,GON
59131,"Glasspool, Lloyd",Great Britain,GBR,GLA
52202,"Nys, Hugo",Monaco,MCO,NYS
112805,"Zielinski, Jan",Poland,POL,ZIE
16275,"Dodig, Ivan",Croatia,HRV,DOD
47834,"Murray, Jamie",Great Britain,GBR,MUR
14553,"Ram, Rajeev",USA,USA,RAM
106349,"Reboul, Fabien",France,FRA,REB
59324,"Pavlasek, Adam",Czechia,CZE,PAV
108099,"Cash, Julian",Great Britain,GBR,CAS
74173,"Salisbury, Joe",Great Britain,GBR,SAL
206889,"Galloway, Robert",USA,USA,GAL
56629,"Peers, John",Australia,AUS,PEE
104917,"Vliegen, Joran",Belgium,BEL,VLI
76263,"Matos, Rafael",Brazil,BRA,MAT
81059,"Gille, Sander",Belgium,BEL,GIL
106559,"Doumbia, Sadio",France,FRA,DOU
16124,"Melo, Marcelo",Brazil,BRA,MEL
14835,"Roger-Vasselin, Edouard",France,FRA,ROG
114831,"Erler, Alexander",Austria,AUT,ERL
25189,"Krajicek, Austin",USA,USA,KRA
45105,"Behar, Ariel",Uruguay,URY,BEH
47966,"Olivetti, Albano",France,FRA,OLI
15305,"Gonzalez, Santiago",Mexico,MEX,GON
78793,"Miedler, Lucas",Austria,AUT,MIE
48646,"Barrientos, Nicolas",Colombia,COL,BAR
22967,"Bhambri, Yuki",India,IND,BHA
300540,"Machac, Tomas",Czechia,CZE,MAC
75813,"Zhang, Zhizhen",China,CHN,ZHA
15588,"Rojer, Jean-Julien",Netherlands,NLD,ROJ
66864,"Arends, Sander",Netherlands,NLD,ARE
62410,"Johnson, Luke",Great Britain,GBR,JOH
69362,"Mansouri, Skander",Tunisia,TUN,MAN
108755,"Jebens, Hendrik",Germany,DEU,JEB
231188,"Frantzen, Constantin",Germany,DEU,FRA
230186,"Verbeek, Sem",Netherlands,NLD,VER
47295,"Andreozzi, Guido",Argentina,ARG,AND
49306,"Reyes-Varela, Miguel Angel",Mexico,MEX,REY
25457,"Nedovyesov, Aleksandr",Kazakhstan,KAZ,NED
16198,"Escobar, Gonzalo",Ecuador,ECU,ESC
104421,"Mies, Andreas",Germany,DEU,MIE
81763,"Jacq, Gregoire",France,FRA,JAC
231090,"Arribage, Theo",France,FRA,ARR
52244,"Balaji, N. Sriram",India,IND,BAL
121182,"Guinard, Manuel",France,FRA,GUI
111195,"Luz, Orlando",Brazil,BRA,LUZ
203681,"Korda, Sebastian",USA,USA,KOR
70348,"Goransson, Andre",Sweden,SWE,GOR
17038,"Smith, John-Patrick",Australia,AUS,SMI
16042,"Haase, Robin",Netherlands,NLD,HAA
918463,"Bollipalli, Rithvik Choudary",India,IND,BOL
41475,"Arneodo, Romain",Monaco,MCO,ARN
204781,"Nouza, Petr",Czechia,CZE,NOU
152900,"Rikl, Patrik",Czechia,CZE,RIK
127646,"Cabral, Francisco",Portugal,PRT,CAB
287215,"Seggerman, Ryan",USA,USA,SEG
23899,"King, Evan",USA,USA,KIN
223868,"Matuszewski, Piotr",Poland,POL,MAT
76361,"Kadhe, Arjun",India,IND,KAD
112969,"Schnaitter, Jakob",Germany,DEU,SCH
936355,"Wallner, Mark",Germany,DEU,WAL
16043,"Middelkoop, Matwe",Netherlands,NLD,MID
52065,"Harrison, Christian",USA,USA,HAR
47975,"Hanfmann, Yannick",Germany,DEU,HAN
63438,"McDonald, Mackenzie",USA,USA,MCD
129368,"Koepfer, Dominik",Germany,DEU,KOE
52263,"Hidalgo, Diego",Ecuador,ECU,HID
299130,"Hijikata, Rinky",Australia,AUS,HIJ
57163,"Zverev, Alexander",Germany,DEU,ZVE
1020797,"Trhac, Patrik",USA,USA,TRH
98413,"Drzewiecki, Karol",Poland,POL,DRZ
77653,"Cornea, Victor Vlad",Romania,ROU,COR
16992,"Willis, Marcus",Great Britain,GBR,WIL
73572,"Zormann, Marcelo",Brazil,BRA,ZOR
871495,"Michelsen, Alex",USA,USA,MIC
60920,"Nedunchezhiyan, Jeevan",India,IND,NED
147104,"Romios, Matthew Christopher",Australia,AUS,ROM
16492,"Eysseric, Jonathan",France,FRA,EYS
16823,"Romboli, Fernando",Brazil,BRA,ROM
16854,"Molchanov, Denys",Ukraine,UKR,MOL
808628,"Shelton, Ben",USA,USA,SHE
113221,"Niklas-Salminen, Patrik",Finland,FIN,NIK
197678,"Tsitsipas, Petros",Greece,GRC,TSI
121032,"Stalder, Reese",USA,USA,STA
47760,"Weissborn, Tristan-Samuel",Austria,AUT,WEI
50037,"Bortolotti, Marco",Italy,ITA,BOR
102151,"Tabilo, Alejandro",Chile,CHL,TAB
145936,"Kaliyanda Poonacha, Niki",India,IND,KAL
53759,"Prashanth, N. Vijay Sundar",India,IND,PRA
119150,"Fancutt, Thomas",Australia,AUS,FAN
77011,"Martos Gornes, Sergio",Spain,ESP,MAR
35766,"Begemann, Andre",Germany,DEU,BEG
14508,"Mahut, Nicolas",France,FRA,MAH
234124,"Stevens, Bart",Netherlands,NLD,STE
209202,"Chandrasekar, Anirudh",India,IND,CHA
163480,"Bublik, Alexander",Kazakhstan,KAZ,BUB
305776,"Soto, Matias",Chile,CHL,SOT
157396,"Veldheer, Mick",Netherlands,NLD,VEL
